loss,accuracy,val_loss,val_accuracy
0.8742020130157471,0.6719970703125,0.7077065706253052,0.7294921875
0.6772211790084839,0.75286865234375,0.630824625492096,0.76611328125
0.6144019961357117,0.7767181396484375,0.5983965992927551,0.7744140625
0.5836030840873718,0.7910003662109375,0.610578715801239,0.77392578125
0.558220386505127,0.7977447509765625,0.5626106262207031,0.7890625
0.5360094904899597,0.80841064453125,0.5692331194877625,0.79052734375
0.5191996693611145,0.81329345703125,0.5570441484451294,0.794921875
0.499165803194046,0.8224639892578125,0.5480911731719971,0.78515625
0.4879304766654968,0.8243865966796875,0.5600289106369019,0.79296875
0.4695349931716919,0.8343963623046875,0.6114529967308044,0.77783203125
0.4603544771671295,0.83624267578125,0.5875622630119324,0.79150390625
0.4476124942302704,0.841766357421875,0.5864094495773315,0.77880859375
0.43793439865112305,0.8455810546875,0.5857259035110474,0.79296875
0.4268133342266083,0.8500213623046875,0.5602002739906311,0.78662109375
0.4211649000644684,0.85107421875,0.6393709182739258,0.783203125
0.4076175093650818,0.8577117919921875,0.5969758033752441,0.78173828125
0.4027525782585144,0.8578338623046875,0.6429356932640076,0.77978515625
0.3908930718898773,0.8625946044921875,0.6125674247741699,0.7744140625
0.3842175602912903,0.8664093017578125,0.6964465379714966,0.7802734375
0.3749423921108246,0.8700103759765625,0.6717027425765991,0.78271484375
